Municipio,Casos Confirmados
VILA VELHA,17923
SERRA,15761
VITORIA,15700
CARIACICA,11855
LINHARES,6905
COLATINA,6172
CACHOEIRO DE ITAPEMIRIM,5833
ARACRUZ,4174
GUARAPARI,3387
SAO MATEUS,3124
VIANA,1847
SAO GABRIEL DA PALHA,1728
MARATAIZES,1727
CASTELO,1457
ITAPEMIRIM,1414
NOVA VENECIA,1222
VENDA NOVA DO IMIGRANTE,959
AFONSO CLAUDIO,911
ECOPORANGA,911
JAGUARE,904
ANCHIETA,897
SOORETAMA,877
BARRA DE SAO FRANCISCO,822
SANTA MARIA DE JETIBA,799
MIMOSO DO SUL,795
MARECHAL FLORIANO,793
PRESIDENTE KENNEDY,773
DOMINGOS MARTINS,750
IBATIBA,748
BAIXO GUANDU,748
PIUMA,693
PINHEIROS,672
FUNDAO,653
SANTA TERESA,618
IUNA,607
PANCAS,582
IBIRACU,554
PEDRO CANARIO,527
VARGEM ALTA,505
VILA VALERIO,488
BREJETUBA,486
ICONHA,484
ALFREDO CHAVES,464
JOAO NEIVA,453
RIO BANANAL,441
MARILANDIA,424
RIO NOVO DO SUL,410
AGUIA BRANCA,390
ALEGRE,369
BOA ESPERANCA,367
MUQUI,365
ATILIO VIVACQUA,354
CONCEICAO DA BARRA,353
GUACUI,351
SAO DOMINGOS DO NORTE,338
MONTANHA,329
SAO JOSE DO CALCADO,323
BOM JESUS DO NORTE,317
GOVERNADOR LINDENBERG,317
CONCEICAO DO CASTELO,316
